,"Design using 
patterns and 
components","Achieve quality attributes 
using  components
 design","Implement 
technologies 
and components design","Analyze decision 
factors","Compare and 
evaluate 
technologies","Design
using multiple 
technologies"
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Design using
patterns 
and  components","Achieve quality 
attributes using  
components design","Implement 
technologies and 
components design","Analyze decision 
factors","Compare and 
evaluate technologies","Design using 
multiple technologies"
Identify concepts,25,61,173,34,19,29
Select concepts,50,189,20,83,87,12
Instantiate architecture elements,255,42,63,5,9,12
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Design using
patterns 
and  components","Achieve quality 
attributes using  
components design","Implement 
technologies and 
components design","Analyze decision 
factors","Compare and 
evaluate technologies","Design using 
multiple technologies"
Identify concepts,Yes,No,,,,
Select concepts,No,,,,,
Instantiate architecture elements,,,,,,
